obs_p,obs_q,obs_teta,obs_DateTime
0.0001,1.69,,
0.00030000000000000003,1.707,,
0.0001,1.673,,
0.0011,1.741,,
0.0001,1.776,,
0.0,1.95,,
0.0,2.056,,
0.0,2.145,,
0.0,2.127,,
0.0,2.127,,
0.0,2.199,,
0.0,2.199,,
0.0002,2.145,,
0.0002,2.056,,
0.0004,2.021,,
0.0002,2.003,,
0.0004,2.038,,
0.001,2.021,,
0.0,2.021,,
0.00030000000000000003,2.056,,
0.0,2.038,,
0.0,1.897,,
0.0001,1.897,,
0.00030000000000000003,2.145,,
0.0011,2.344,,
0.0002,2.508,,
0.0005,2.656,,
0.0005,2.693,,
0.0024,2.843,,
0.004200000000000001,3.051,,
0.0105,3.829,,
0.004,4.946,,
0.0008999999999999999,5.895,,
0.0,7.005,,
0.0003,7.494,,
0.0005,8.306,,
0.0,9.505,,
0.0,10.304,,
0.0,10.684,,
0.0,10.399,,
0.0,9.319,,
0.0,8.125,,
0.0,7.093,,
0.0,6.153,,
0.0,5.554,,
0.0,5.008,,
0.0,4.657,,
0.0004,4.33,,
0.0,4.088,,
0.0002,3.869,,
0.0002,3.671,,
0.0001,3.553,,
0.00030000000000000003,3.456,,
0.0,3.378,,
0.0,3.32,,
0.0,3.262,,
0.0002,3.204,,
0.0,3.166,,
0.00030000000000000003,3.166,,
0.0,3.108,,
0.0,3.108,,
0.0,3.032,,
0.0,3.013,,
0.0005,3.032,,
0.0,3.127,,
0.0,3.32,,
0.0,2.994,,
0.0002,2.918,,
0.0001,2.749,,
0.0,2.73,,
0.0,2.712,,
0.0,2.656,,
0.0,2.637,,
0.0,2.6,,
0.0,2.6,,
0.0,2.563,,
0.0,2.526,,
0.0,2.453,,
0.0,2.453,,
0.0002,2.435,,
0.0007,2.435,,
0.0001,2.453,,
0.0002,2.453,,
0.0001,2.453,,
0.0,2.416,,
0.0018000000000000002,2.453,,
0.002,2.619,,
0.0017000000000000001,2.956,,
0.0001,3.243,,
0.0013,3.632,,
0.0006000000000000001,4.068,,
0.00030000000000000003,4.513,,
0.0,5.008,,
0.0,5.343,,
0.0,5.895,,
0.0,6.413,,
0.0,6.479,,
0.0,6.851,,
0.0,6.983,,
0.0,6.983,,
0.0,6.719,,
0.0,6.218,,
0.0,5.895,,
0.0,5.554,,
0.0,5.343,,
0.0,5.112,,
0.0,5.029,,
0.0,4.946,,
0.0,4.884,,
0.0,4.76,,
